"age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","previous","poutcome","euribor3m","new_pdays","emp_var_rate","cons_price_idx","cons_conf_idx","nr_employed","subscribe"
28,"blue collar","married","basic 4y","no","no","no","cellular","may","tue",1,0,"non existent",1.291,0,-1.8,92.893,-46.2,5099.1,"0"
43,"admin","married","university degree","no","yes","yes","telephone","jul","tue",1,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
44,"admin","single","high school","no","yes","no","cellular","may","wed",1,0,"non existent",1.334,0,-1.8,92.893,-46.2,5099.1,"0"
43,"admin","married","high school","no","yes","no","cellular","jul","mon",3.03694575379844,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
41,"retired","single","basic 4y","no","yes","no","cellular","oct","fri",1,0,"non existent",0.942,0,-1.1,94.601,-49.5,4963.6,"0"
31,"admin","single","university degree","no","no","no","telephone","aug","tue",1,0,"non existent",0.883,0,-2.9,92.201,-31.4,5076.2,"0"
59,"admin","married","university degree","no","yes","yes","telephone","may","thu",1.53437698640472,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
32,"housemaid","single","university degree","no","yes","no","cellular","jul","tue",4,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
24,"student","single","high school","no","no","no","cellular","jun","tue",1,1,"failure",0.737,0,-1.7,94.055,-39.8,4991.6,"0"
31,"blue collar","single","basic 9y","no","no","no","telephone","jun","wed",2,0,"non existent",4.864,0,1.4,94.465,-41.8,5228.1,"1"
38,"admin","single","high school","no","yes","yes","cellular","nov","thu",4,0,"non existent",4.076,0,-0.1,93.2,-42,5195.8,"0"
37,"management","divorced","university degree","no","yes","no","cellular","may","mon",1,0,"non existent",1.244,0,-1.8,92.893,-46.2,5099.1,"0"
33,"admin","married","university degree","no","yes","no","telephone","jul","fri",4,0,"non existent",4.963,0,1.4,93.918,-42.7,5228.1,"0"
27,"admin","single","university degree","no","yes","yes","cellular","jul","mon",4,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"0"
34,"services","married","high school","no","no","no","telephone","may","thu",1,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
46,"self employed","married","basic 6y","no","yes","no","cellular","nov","tue",1,1,"failure",4.153,0,-0.1,93.2,-42,5195.8,"0"
30,"admin","married","high school","no","no","no","cellular","jul","wed",1,0,"non existent",4.957,0,1.4,93.918,-42.7,5228.1,"0"
31,"unemployed","single","basic 4y","no","no","no","cellular","nov","fri",2.32637742207249,0,"non existent",4.021,0,-0.1,93.2,-42,5195.8,"0"
56,"management","married","university degree","no","no","yes","telephone","may","wed",1,0,"non existent",4.858,0,1.1,93.994,-36.4,5191,"0"
52,"services","married","high school","no","no","no","cellular","jul","wed",1,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
30,"technician","married","professional course","no","yes","no","telephone","jul","thu",2,0,"non existent",4.966,0,1.4,93.918,-42.7,5228.1,"0"
34,"blue collar","married","basic 6y","no","no","no","telephone","jun","fri",3,0,"non existent",4.947,0,1.4,94.465,-41.8,5228.1,"0"
31,"admin","married","high school","no","no","no","cellular","oct","thu",1,0,"non existent",0.722,0,-3.4,92.431,-46.1824420118461,5017.5,"1"
33,"admin","married","university degree","no","yes","no","cellular","nov","fri",1,1,"success",1.049,12,-1.1,94.767,-50.8,4963.6,"1"
33,"admin","single","university degree","no","yes","yes","telephone","apr","wed",1,0,"non existent",1.415,0,-1.8,93.075,-47.1,5099.1,"0"
30,"technician","single","university degree","no","yes","no","cellular","aug","mon",1.96534480219423,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
28,"admin","single","university degree","no","no","no","cellular","apr","fri",1,0,"non existent",1.405,0,-1.8,93.075,-47.1,5099.1,"0"
24,"technician","single","professional course","no","no","no","telephone","may","tue",4,0,"non existent",1.266,0,-1.8,92.893,-46.2,5099.1,"0"
41,"blue collar","married","basic 4y","no","yes","yes","cellular","may","wed",2,0,"non existent",1.334,0,-1.8,92.893,-46.2,5099.1,"0"
26,"admin","married","high school","no","no","no","telephone","may","thu",4,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
40,"admin","married","basic 9y","no","no","no","telephone","may","thu",4,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
45,"housemaid","single","basic 4y","no","no","no","telephone","sep","mon",4,0,"non existent",0.797,0,-3.4,92.379,-29.8,5017.5,"1"
42,"admin","married","university degree","no","yes","no","telephone","jun","thu",2,0,"non existent",4.866,0,1.4,94.465,-41.8,5228.1,"0"
41,"technician","married","high school","no","no","no","cellular","aug","mon",2,0,"non existent",4.963,0,1.4,93.444,-36.1,5228.1,"1"
56,"management","divorced","basic 9y","no","yes","no","telephone","may","thu",2,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
25,"technician","single","high school","no","yes","no","cellular","may","fri",3,2,"failure",0.699,0,-1.8,93.876,-40,5008.7,"0"
25,"blue collar","single","high school","no","yes","no","cellular","may","mon",1,0,"non existent",1.299,0,-1.8,92.893,-46.2,5099.1,"0"
33,"admin","single","high school","no","yes","no","cellular","may","tue",1,0,"non existent",1.344,0,-1.8,92.893,-46.2,5099.1,"0"
34,"technician","married","basic 9y","no","no","no","cellular","may","mon",1,0,"non existent",1.299,0,-1.8,92.893,-46.2,5099.1,"0"
36,"technician","single","high school","no","yes","no","cellular","jul","wed",1,1,"failure",1.029,0,-2.9,92.469,-33.6,5076.2,"0"
67.3840760692507,"retired","married","university degree","no","yes","no","cellular","jul","thu",1,2,"failure",0.81,0,-1.7,94.215,-40.3,4991.6,"1"
38,"management","married","university degree","no","no","yes","cellular","nov","fri",1,0,"non existent",4.021,0,-0.1,93.2,-42,5195.8,"0"
28,"student","single","basic 6y","no","yes","no","cellular","aug","thu",1,1,"failure",0.883,0,-2.9,92.201,-31.4,5076.2,"0"
56,"retired","married","basic 4y","no","yes","no","cellular","aug","wed",1,0,"non existent",4.967,0,1.4,93.444,-36.1,5228.1,"0"
58,"blue collar","married","professional course","no","no","no","telephone","jun","fri",3.31714984554277,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
30,"blue collar","single","basic 6y","no","yes","yes","telephone","may","mon",1,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
48,"admin","married","university degree","no","yes","no","cellular","aug","tue",1,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
30,"admin","married","high school","no","yes","no","cellular","jul","fri",6,0,"non existent",4.959,0,1.4,93.918,-42.7,5228.1,"0"
43,"admin","married","high school","no","yes","no","telephone","may","wed",2,0,"non existent",4.858,0,1.1,93.994,-36.4,5191,"0"
33,"admin","single","university degree","no","no","no","cellular","may","mon",2,0,"non existent",1.244,0,-1.8,92.893,-46.2,5099.1,"0"
36,"technician","married","basic 6y","no","no","no","cellular","apr","mon",2,1,"failure",1.405,0,-1.8,93.075,-47.1,5099.1,"0"
54,"retired","single","high school","no","yes","no","cellular","jul","thu",3,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
29,"blue collar","single","high school","no","yes","no","cellular","jul","fri",1,0,"non existent",4.957,0,1.4,93.918,-42.7,5228.1,"0"
28,"admin","single","university degree","no","yes","yes","cellular","dec","fri",6,1,"failure",0.71,0,-3,92.713,-33,5023.5,"0"
59,"retired","divorced","professional course","no","no","no","cellular","may","wed",1,0,"non existent",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
45,"blue collar","married","basic 9y","no","yes","no","cellular","apr","tue",4,1,"failure",1.423,0,-1.8,93.075,-47.1,5099.1,"0"
32,"technician","single","university degree","no","yes","no","cellular","aug","wed",1.07361896796223,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"0"
55,"retired","divorced","professional course","no","no","yes","telephone","may","wed",2,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
29,"admin","single","university degree","no","no","no","cellular","aug","thu",1,0,"non existent",4.963,0,1.4,93.444,-36.1,5228.1,"0"
31,"technician","married","professional course","no","no","no","telephone","may","wed",2,0,"non existent",4.858,0,1.1,93.994,-36.4,5191,"0"
34,"technician","married","high school","no","yes","no","cellular","aug","fri",1,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"0"
25,"technician","divorced","university degree","no","yes","no","telephone","jun","mon",2,0,"non existent",4.865,0,1.4,94.465,-41.8,5228.1,"0"
35,"blue collar","married","basic 9y","no","yes","no","cellular","dec","thu",1,3,"success",0.707,4,-3,92.713,-33,5023.5,"0"
49,"technician","married","basic 9y","no","yes","no","telephone","may","mon",6,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
35,"blue collar","married","basic 9y","no","yes","no","telephone","jul","thu",1,0,"non existent",4.968,0,1.4,93.918,-42.7,5228.1,"0"
36,"admin","married","university degree","no","no","no","cellular","may","tue",1,1,"failure",1.266,0,-1.8,92.893,-46.2,5099.1,"0"
29,"technician","single","university degree","no","yes","yes","cellular","nov","thu",2,0,"non existent",4.076,0,-0.1,93.2,-42,5195.8,"0"
30,"admin","single","high school","no","no","no","cellular","nov","tue",2,0,"non existent",4.153,0,-0.1,93.2,-42,5195.8,"0"
24,"student","married","university degree","no","no","no","cellular","jul","tue",1,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
47,"admin","single","university degree","no","yes","no","cellular","jun","mon",4,0,"non existent",1.281,0,-2.9,92.963,-40.8,5076.2,"1"
32,"blue collar","married","basic 4y","no","no","yes","cellular","may","thu",4,0,"non existent",1.266,0,-1.8,92.893,-46.2,5099.1,"0"
34,"technician","single","professional course","no","no","no","cellular","aug","mon",1,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
34,"admin","single","university degree","no","no","no","cellular","may","fri",4,1,"failure",1.25,0,-1.8,92.893,-46.2,5099.1,"0"
39,"technician","married","professional course","no","no","no","telephone","jun","tue",2,0,"non existent",4.961,0,1.4,94.465,-41.8,5228.1,"0"
47,"blue collar","married","basic 9y","no","yes","yes","cellular","may","wed",6,2,"failure",1.334,0,-1.8,92.893,-46.2,5099.1,"0"
32,"technician","married","high school","no","yes","no","cellular","may","tue",1,0,"non existent",1.344,0,-1.8,92.893,-46.2,5099.1,"0"
29,"technician","single","university degree","no","yes","no","cellular","jul","wed",1,0,"non existent",4.963,0,1.4,93.918,-42.7,5228.1,"0"
57,"retired","married","university degree","no","yes","no","telephone","jun","fri",5,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
49,"management","married","high school","no","no","no","cellular","nov","wed",1,0,"non existent",4.12,0,-0.1,93.2,-42,5195.8,"0"
42,"technician","married","professional course","no","yes","no","cellular","jul","thu",0.776268985192998,0,"non existent",4.968,0,1.4,93.918,-42.7,5228.1,"0"
29,"admin","single","university degree","no","yes","no","cellular","aug","fri",2,0,"non existent",4.966,0,1.4,93.444,-36.1,5228.1,"0"
34,"technician","married","professional course","no","yes","yes","telephone","may","fri",3,0,"non existent",4.855,0,1.1,93.994,-36.4,5191,"0"
51,"entrepreneur","divorced","university degree","no","yes","no","cellular","may","mon",1,0,"non existent",1.299,0,-1.8,92.893,-46.2,5099.1,"0"
47,"blue collar","divorced","basic 9y","no","no","no","cellular","may","tue",1,0,"non existent",1.344,0,-1.8,92.893,-46.2,5099.1,"0"
53,"technician","married","professional course","no","yes","no","telephone","mar","mon",5,2,"failure",0.646,0,-1.8,93.369,-34.8,5008.7,"0"
28,"technician","married","basic 9y","no","yes","no","cellular","jul","mon",2,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"0"
27,"technician","single","university degree","no","yes","no","cellular","oct","wed",1,1,"failure",1.043,0,-1.1,94.601,-49.5,4963.6,"1"
23,"admin","single","university degree","no","yes","no","cellular","jul","wed",1,2,"failure",0.881,0,-1.7,94.215,-40.3,4991.6,"0"
30,"student","single","high school","no","no","no","cellular","aug","thu",1,1,"failure",0.904,0,-1.7,94.027,-38.3,4991.6,"0"
42,"blue collar","married","basic 6y","no","yes","no","cellular","may","wed",1,0,"non existent",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
38,"admin","single","university degree","no","yes","no","telephone","jun","wed",2,0,"non existent",4.962,0,1.4,94.465,-41.8,5228.1,"0"
29,"admin","married","university degree","no","yes","yes","cellular","apr","mon",1,0,"non existent",1.405,0,-1.8,93.075,-47.1,5099.1,"0"
44,"housemaid","married","basic 4y","no","yes","no","cellular","may","wed",1,1,"failure",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
59,"retired","married","high school","no","no","no","telephone","aug","thu",2,0,"non existent",4.968,0,1.4,93.444,-36.1,5228.1,"0"
45,"management","single","basic 9y","no","yes","no","cellular","nov","thu",3,1,"failure",4.076,0,-0.1,93.2,-42,5195.8,"0"
51,"management","married","university degree","no","no","yes","telephone","jun","thu",1,0,"non existent",4.955,0,1.4,94.465,-41.8,5228.1,"0"
28,"services","married","high school","no","yes","yes","telephone","may","mon",2,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
29,"technician","married","university degree","no","yes","yes","cellular","aug","wed",2,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"0"
28,"technician","single","professional course","no","yes","no","cellular","apr","thu",2,1,"failure",1.483,0,-1.8,93.075,-47.1,5099.1,"0"
29,"technician","single","professional course","no","yes","no","cellular","may","wed",2,0,"non existent",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
40,"admin","single","high school","no","yes","no","telephone","jun","mon",3,0,"non existent",4.865,0,1.4,94.465,-41.8,5228.1,"0"
43,"blue collar","married","basic 4y","no","yes","no","cellular","may","mon",2,0,"non existent",1.244,0,-1.8,92.893,-46.2,5099.1,"0"
54,"management","married","university degree","no","no","yes","cellular","jul","tue",1,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
42,"admin","married","university degree","no","yes","no","cellular","may","mon",5,0,"non existent",1.354,0,-1.8,92.893,-46.2,5099.1,"0"
55,"services","married","high school","no","no","no","cellular","may","mon",1,1,"failure",1.244,0,-1.8,92.893,-46.2,5099.1,"0"
49,"blue collar","single","basic 4y","no","no","no","cellular","jul","wed",1,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
52,"services","married","professional course","no","yes","yes","cellular","aug","mon",3,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
32,"admin","married","high school","no","no","no","cellular","aug","fri",1.53244273490162,0,"non existent",4.966,0,1.4,93.444,-36.1,5228.1,"0"
23,"admin","single","university degree","no","yes","yes","telephone","jul","mon",3,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"0"
34,"technician","married","professional course","no","yes","yes","cellular","nov","thu",2.47042440007148,0,"non existent",4.076,0,-0.1,93.2,-42,5195.8,"0"
36,"services","married","high school","no","no","no","cellular","jul","wed",3,0,"non existent",4.963,0,1.4,93.918,-42.7,5228.1,"0"
54,"admin","single","university degree","no","no","no","cellular","aug","thu",2,0,"non existent",4.968,0,1.4,93.444,-36.1,5228.1,"0"
39,"services","divorced","basic 9y","no","yes","no","telephone","may","thu",1,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
50,"housemaid","divorced","basic 4y","no","no","no","telephone","sep","tue",1,0,"non existent",0.877,0,-1.1,94.199,-37.5,4963.6,"0"
30,"services","single","high school","no","yes","no","cellular","jun","mon",2,0,"non existent",1.26,0,-2.9,92.963,-40.8,5076.2,"1"
27,"blue collar","married","basic 9y","no","no","yes","telephone","may","thu",1,0,"non existent",4.855,0,1.1,93.994,-36.4,5191,"0"
32,"admin","divorced","university degree","no","yes","no","telephone","may","thu",4,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
54,"technician","married","university degree","no","no","no","telephone","jun","mon",4,0,"non existent",4.96,0,1.4,94.465,-41.8,5228.1,"0"
40,"blue collar","married","basic 4y","no","yes","no","telephone","jul","wed",1,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
50,"blue collar","married","professional course","no","yes","no","cellular","may","thu",1,1,"failure",1.327,0,-1.8,92.893,-46.2,5099.1,"0"
35,"technician","single","professional course","no","no","no","cellular","may","mon",2,0,"non existent",1.299,0,-1.8,92.893,-46.2,5099.1,"0"
26,"admin","single","university degree","no","yes","no","cellular","sep","tue",1,1,"failure",0.881,0,-1.1,94.199,-37.5,4963.6,"0"
45,"admin","single","university degree","no","yes","no","cellular","aug","wed",1,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
28,"technician","married","high school","no","no","no","telephone","may","tue",1,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"0"
28,"blue collar","single","basic 4y","no","yes","no","telephone","may","mon",2,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
50,"technician","married","professional course","no","no","no","telephone","may","fri",2,0,"non existent",4.859,0,1.1,93.994,-36.4,5191,"0"
31,"blue collar","married","basic 6y","no","yes","no","telephone","jun","fri",2.05721198446872,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
34,"admin","single","university degree","no","no","no","cellular","aug","fri",1,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"0"
56,"blue collar","married","basic 4y","no","no","no","cellular","jul","tue",5,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
29,"entrepreneur","married","basic 4y","no","no","no","cellular","jul","tue",4,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
58,"admin","married","university degree","no","no","no","cellular","aug","wed",2,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
46,"blue collar","married","basic 4y","no","no","no","cellular","may","mon",3,0,"non existent",1.299,0,-1.8,92.893,-46.2,5099.1,"0"
35,"blue collar","divorced","basic 9y","no","no","yes","telephone","may","tue",1,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"0"
34,"management","married","university degree","no","yes","no","cellular","may","thu",1,0,"non existent",1.327,0,-1.8,92.893,-46.2,5099.1,"0"
39,"admin","single","high school","no","no","no","cellular","apr","fri",1,0,"non existent",1.405,0,-1.8,93.075,-47.1,5099.1,"0"
40,"management","married","university degree","no","yes","no","cellular","nov","thu",1,1,"failure",4.076,0,-0.1,93.2,-42,5195.8,"0"
40,"admin","married","university degree","no","yes","yes","cellular","aug","tue",1,0,"non existent",4.966,0,1.4,93.444,-36.1,5228.1,"0"
54,"blue collar","married","basic 4y","no","yes","yes","cellular","jul","thu",5,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
25,"admin","single","university degree","no","no","no","telephone","jun","mon",2,0,"non existent",1.26,0,-2.9,92.963,-40.8,5076.2,"0"
40,"unemployed","married","professional course","no","yes","no","cellular","sep","fri",3,0,"non existent",0.773,0,-3.4,92.379,-29.8,5017.5,"0"
49,"blue collar","married","basic 4y","no","no","no","telephone","jun","thu",3,0,"non existent",4.958,0,1.4,94.465,-41.8,5228.1,"0"
41,"admin","married","university degree","no","yes","no","cellular","sep","thu",1,1,"failure",0.879,0,-1.1,94.199,-37.5,4963.6,"0"
32,"admin","married","high school","no","no","no","cellular","jul","mon",2,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"0"
44,"admin","divorced","university degree","no","no","no","telephone","jun","fri",2,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
41,"admin","married","university degree","no","no","no","cellular","jul","mon",3,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"1"
30,"technician","single","university degree","no","yes","yes","cellular","aug","tue",2,0,"non existent",4.966,0,1.4,93.444,-36.1,5228.1,"0"
27,"blue collar","single","basic 9y","no","yes","no","cellular","may","tue",1,0,"non existent",1.344,0,-1.8,92.893,-46.2,5099.1,"0"
41,"blue collar","married","basic 4y","no","yes","no","telephone","may","wed",3,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"0"
36,"blue collar","married","basic 9y","no","yes","no","telephone","may","wed",1,1,"failure",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
54,"entrepreneur","married","professional course","no","yes","yes","cellular","nov","tue",1,0,"non existent",4.153,0,-0.1,93.2,-42,5195.8,"0"
30,"blue collar","single","professional course","no","no","no","cellular","may","tue",1,1,"failure",0.668,0,-1.8,93.876,-40,5008.7,"0"
25,"student","single","high school","no","yes","no","cellular","aug","fri",1,1,"failure",0.825,0,-2.9,92.201,-31.4,5076.2,"0"
42,"management","married","high school","no","no","no","cellular","nov","thu",2,0,"non existent",4.076,0,-0.1,93.2,-42,5195.8,"0"
36,"services","divorced","basic 9y","no","yes","no","cellular","may","tue",2,0,"non existent",1.291,0,-1.8,92.893,-46.2,5099.1,"0"
45,"admin","married","university degree","no","yes","no","telephone","may","tue",6,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
38,"technician","married","university degree","no","no","no","telephone","may","thu",2,0,"non existent",4.855,0,1.1,93.994,-36.4,5191,"0"
38,"admin","single","professional course","no","no","no","telephone","may","mon",1,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
34,"blue collar","married","basic 4y","no","no","no","telephone","jun","fri",2,0,"non existent",4.967,0,1.4,94.465,-41.8,5228.1,"0"
44,"admin","married","basic 9y","no","no","no","cellular","may","wed",3,1,"failure",1.334,0,-1.8,92.893,-46.2,5099.1,"0"
37,"services","single","basic 9y","no","no","no","cellular","may","tue",1,0,"non existent",1.344,0,-1.8,92.893,-46.2,5099.1,"0"
39,"blue collar","single","basic 9y","no","no","no","telephone","may","tue",3,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"1"
57,"admin","married","university degree","no","no","no","cellular","jul","mon",1,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"0"
34,"technician","married","professional course","no","yes","no","cellular","jul","wed",4,0,"non existent",4.963,0,1.4,93.918,-42.7,5228.1,"0"
25,"admin","married","basic 9y","no","no","no","telephone","jun","mon",1,0,"non existent",4.865,0,1.4,94.465,-41.8,5228.1,"0"
52,"admin","married","high school","no","yes","no","cellular","apr","thu",2,1,"failure",1.435,0,-1.8,93.075,-47.1,5099.1,"0"
23,"technician","single","high school","no","no","no","cellular","may","thu",1,0,"non existent",1.266,0,-1.8,92.893,-46.2,5099.1,"0"
57,"technician","married","basic 4y","no","no","no","telephone","may","tue",1,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
50,"admin","married","university degree","no","no","no","cellular","nov","fri",1,0,"non existent",4.021,0,-0.1,93.2,-42,5195.8,"0"
46,"technician","married","professional course","no","no","yes","telephone","jun","mon",1,0,"non existent",4.865,0,1.4,94.465,-41.8,5228.1,"0"
43,"blue collar","single","basic 4y","no","no","no","telephone","may","wed",3,0,"non existent",4.858,0,1.1,93.994,-36.4,5191,"0"
38,"management","divorced","university degree","no","no","no","cellular","nov","mon",2,1,"failure",4.191,0,-0.1,93.2,-42,5195.8,"0"
53,"admin","single","basic 6y","no","yes","yes","telephone","may","mon",2,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
35,"self employed","married","university degree","no","no","no","cellular","nov","thu",1,0,"non existent",4.076,0,-0.1,93.2,-42,5195.8,"0"
28,"services","married","high school","no","no","no","cellular","jul","tue",1,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
25,"blue collar","single","basic 9y","no","yes","no","telephone","may","wed",1,0,"non existent",4.859,0,1.1,93.994,-36.4,5191,"0"
56,"services","divorced","high school","no","no","no","telephone","may","thu",5,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
56,"technician","married","university degree","no","no","no","cellular","jul","mon",0.522459335929113,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"0"
33,"services","single","high school","no","yes","no","telephone","jun","thu",5,0,"non existent",4.961,0,1.4,94.465,-41.8,5228.1,"0"
31,"housemaid","single","professional course","no","yes","yes","cellular","aug","tue",1,0,"non existent",4.966,0,1.4,93.444,-36.1,5228.1,"0"
48,"admin","divorced","university degree","no","no","no","cellular","aug","thu",1,0,"non existent",0.904,0,-1.7,94.027,-38.3,4991.6,"1"
45,"self employed","divorced","university degree","no","yes","yes","telephone","jun","mon",1,0,"non existent",4.961,0,1.4,94.465,-41.8,5228.1,"0"
24,"blue collar","married","basic 9y","no","yes","no","cellular","oct","fri",1,0,"non existent",0.72,0,-3.4,92.431,-45.3075320369865,5017.5,"0"
33,"blue collar","married","basic 9y","no","yes","yes","cellular","may","tue",1,0,"non existent",1.291,0,-1.8,92.893,-46.2,5099.1,"0"
38,"admin","married","high school","no","no","no","telephone","apr","mon",4,0,"non existent",1.405,0,-1.8,93.075,-47.1,5099.1,"0"
48,"housemaid","married","basic 4y","no","no","yes","cellular","aug","mon",1,0,"non existent",4.97,0,1.4,93.444,-36.1,5228.1,"0"
28,"entrepreneur","married","basic 9y","no","no","no","cellular","may","fri",5,0,"non existent",1.25,0,-1.8,92.893,-46.2,5099.1,"0"
50,"self employed","married","basic 4y","no","yes","yes","telephone","may","wed",3,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"0"
29,"admin","married","university degree","no","yes","yes","telephone","jun","wed",3,0,"non existent",4.958,0,1.4,94.465,-41.8,5228.1,"0"
38,"blue collar","married","basic 6y","no","no","no","telephone","may","mon",3,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
18,"student","single","university degree","no","yes","yes","telephone","aug","wed",1,0,"non existent",0.9,0,-1.7,94.027,-38.3,4991.6,"0"
31,"unemployed","married","basic 9y","no","yes","no","telephone","may","wed",1,0,"non existent",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
34,"blue collar","married","basic 9y","no","yes","no","cellular","jul","wed",5,0,"non existent",4.963,0,1.4,93.918,-42.7,5228.1,"0"
38,"admin","married","university degree","no","yes","no","telephone","jun","tue",1.90466929650291,0,"non existent",4.961,0,1.4,94.465,-41.8,5228.1,"0"
57,"admin","single","high school","no","yes","no","telephone","may","mon",5,1,"success",1.244,12,-1.8,92.893,-46.2,5099.1,"0"
35,"technician","divorced","basic 6y","no","yes","yes","telephone","may","wed",1,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"0"
67.8916016221193,"retired","divorced","professional course","no","no","no","cellular","aug","mon",1,0,"non existent",0.898,0,-1.7,94.027,-38.3,4991.6,"0"
29,"blue collar","single","basic 9y","no","yes","yes","cellular","jul","tue",1,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
46,"management","married","university degree","no","no","yes","cellular","jul","fri",2,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
21,"student","single","high school","no","yes","yes","cellular","jun","wed",2,0,"non existent",0.767,0,-1.7,94.055,-39.8,4991.6,"1"
43,"management","married","university degree","no","no","no","cellular","aug","mon",1,0,"non existent",0.861,0,-2.9,92.201,-31.4,5076.2,"0"
43,"admin","married","basic 9y","no","no","no","cellular","jul","thu",2,0,"non existent",4.958,0,1.4,93.918,-42.7,5228.1,"0"
31,"technician","married","university degree","no","no","no","cellular","oct","tue",2,3,"failure",0.982,12,-1.1,94.601,-49.5,4963.6,"0"
39,"student","single","high school","no","yes","no","telephone","jun","tue",1,0,"non existent",4.961,0,1.4,94.465,-41.8,5228.1,"0"
44,"technician","single","university degree","no","no","yes","cellular","jul","fri",2,0,"non existent",4.963,0,1.4,93.918,-42.7,5228.1,"0"
32,"services","single","high school","no","yes","no","cellular","may","wed",1,1,"failure",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
43,"self employed","single","high school","no","no","no","cellular","may","wed",1,1,"failure",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
48,"services","married","high school","no","no","no","telephone","sep","tue",1,0,"non existent",0.881,0,-1.1,94.199,-37.5,4963.6,"0"
28,"blue collar","single","basic 6y","no","no","no","telephone","may","fri",1,0,"non existent",4.855,0,1.1,93.994,-36.4,5191,"0"
